store,locality,num_postcodes,total_market_size,weighted_avg_share_pct,avg_share_latest_pct,avg_share_yoy_pct,share_trend_pp,top_postcode,top_postcode_share_pct,weakest_postcode,weakest_postcode_share_pct,catchment_health_score,cbas_market_share,cbas_sow,performance_tier
Mosman,Mosman,2,2885070.0,18.565,15.935,15.68,0.255,2088,20.544,2090,11.326,100,0.3281,0.374,1
Willoughby,North Willoughby,3,1606644.0,16.805,15.517,15.49,0.027,2062,22.838,2063,9.279,100,0.0522,0.144,3
Bondi,Bondi Beach,7,4492078.0,14.703,12.479,12.064,0.415,2026,16.361,2028,5.346,100,0.1483,0.318,1
Boronia Park,Gladesville,21,6322201.0,13.435,4.85,4.765,0.086,2110,23.687,2165,0.124,100,0.0328,0.148,5
Lindfield,Lindfield,4,2226676.0,13.336,10.716,11.857,-1.14,2070,18.525,2113,4.126,100,0.1018,0.235,2
St Ives,St Ives (NSW),4,2053305.0,12.859,10.046,10.49,-0.444,2071,16.083,2085,1.927,100,0.1101,0.165,2
Bondi Westfield,Bondi Junction,3,1964996.0,12.382,10.963,10.584,0.38,2011,16.171,2010,8.262,100,0.0398,0.096,2
Randwick,Randwick,12,5370734.0,9.03,7.008,5.415,1.592,2031,12.553,2020,1.593,98.3,0.0409,0.118,3
Drummoyne,Drummoyne,9,2167032.0,9.015,5.742,5.588,0.154,2040,10.93,2134,1.165,90.9,0.0461,0.192,1
Cammeray,Cammeray,3,906913.0,8.43,8.621,7.959,0.662,2061,9.457,2060,7.958,87.6,0.0584,0.172,1
Lane Cove,Lane Cove,2,1059729.0,8.422,8.131,8.492,-0.361,2065,8.564,2064,7.698,80.6,0.05,0.154,4
Manly,Manly (NSW),8,3061224.0,8.027,7.036,6.435,0.601,2095,11.972,2086,2.52,83.3,0.0583,0.123,1
Bowral,Bowral,36,2735544.0,7.972,1.49,1.458,0.031,2576,13.774,2528,0.032,79.9,0.0983,0.163,3
Leichhardt,Leichhardt (NSW),15,3197677.0,7.451,6.486,5.545,0.941,2038,12.246,2193,2.254,79.2,0.027,0.114,4
Mona Vale,Mona Vale,12,3046202.0,7.018,7.175,6.991,0.184,2108,14.305,2081,1.414,71.1,0.0666,0.101,1
Orange,Orange,67,1823734.0,6.785,2.322,2.347,-0.024,2791,12.523,2852,0.094,67.6,0.0857,0.125,3
West End,West End (Brisbane - Qld),168,3497090.0,5.499,0.597,0.639,-0.042,4101,11.109,4343,0.0,54.6,0.0168,0.086,2
Cooks Hill,Cooks Hill,96,4431755.0,5.125,1.601,1.623,-0.022,2300,14.013,2440,0.042,51.0,0.037,0.108,2
Dural,Dural (Hornsby - NSW),63,5442718.0,5.039,1.668,1.188,0.479,2073,10.608,2770,0.059,52.8,0.0089,0.074,5
Albury,Albury,54,2138346.0,4.846,2.237,2.884,-0.647,2640,6.979,2880,0.076,42.0,0.0543,0.109,4
Broadway,Glebe (NSW),1,297936.0,4.222,4.222,3.846,0.376,2000,4.222,2000,4.222,44.1,0.0131,0.076,5
Erina,Erina,10,2787455.0,4.076,2.565,2.52,0.045,2260,7.101,2263,0.402,41.0,0.0446,0.085,2
Clayfield,Clayfield,93,3466334.0,3.586,0.843,0.785,0.058,4011,10.197,4655,0.02,36.2,0.0299,0.13,1
Isle of Capri,Surfers Paradise,65,2643028.0,2.78,0.526,0.481,0.045,4217,5.462,2452,0.059,28.0,0.0157,0.096,4
Majura Park,Canberra Airport,58,2829539.0,2.11,1.38,1.427,-0.047,2612,4.702,2537,0.074,20.6,0.0176,0.071,3
Miranda,Miranda (NSW),70,3070551.0,1.705,0.837,0.305,0.532,2228,3.667,2560,0.069,19.7,0.0067,0.028,4
